timestamp,nodeid,iccid,rtt,speed,longitude,latitude
2017-09-18 04:34:19.040269000,372,89460140160914119766,63.4,,14.106030464172365,59.31721496582031
2017-09-18 04:34:20.138272000,372,89460140160914119766,82.7,,14.106030464172365,59.31721496582031
2017-09-18 04:34:20.381954000,372,89460850007007786425,40.9,,14.106030464172365,59.31721496582031
2017-09-18 04:34:21.210083000,372,89460140160914119766,57.3,,14.10603141784668,59.31721115112305
2017-09-18 04:34:21.426055000,372,89460140160914119766,65.9,,14.10603141784668,59.31721115112305
2017-09-18 04:34:21.461808000,372,89460850007007786425,65.5,,14.10603141784668,59.31721115112305
2017-09-18 04:34:21.676279000,372,89460850007007786425,66.9,,14.10603141784668,59.31721115112305
2017-09-18 04:34:22.505681000,372,89460140160914119766,67.2,,14.10603141784668,59.31721115112305
2017-09-18 04:34:22.744981000,372,89460850007007786425,56.3,,14.10603141784668,59.31721115112305
2017-09-18 04:34:23.575583000,372,89460140160914119766,57.1,,14.10603141784668,59.31721115112305
2017-09-18 04:34:23.806644000,372,89460850007007786425,49.3,,14.10603141784668,59.31721115112305
2017-09-18 04:34:24.646225000,372,89460140160914119766,58.0,,14.10603141784668,59.31721115112305
2017-09-18 04:34:24.876710000,372,89460850007007786425,57.6,,14.10603141784668,59.31721115112305
2017-09-18 04:34:25.744210000,372,89460140160914119766,85.1,,14.10603141784668,59.31721115112305
2017-09-18 04:34:25.956485000,372,89460850007007786425,67.0,,14.10603141784668,59.31721115112305
2017-09-18 04:34:26.826313000,372,89460140160914119766,69.0,,14.106032371520994,59.31721115112305
2017-09-18 04:34:27.045030000,372,89460850007007786425,74.4,,14.106032371520994,59.31721115112305
2017-09-18 04:34:27.906533000,372,89460140160914119766,65.3,,14.106032371520994,59.31721115112305
2017-09-18 04:34:28.096063000,372,89460850007007786425,37.0,,14.106032371520994,59.31721115112305
2017-09-18 04:34:29.001792000,372,89460140160914119766,82.5,,14.106032371520994,59.31721115112305
2017-09-18 04:34:29.156357000,372,89460850007007786425,46.4,,14.106032371520994,59.31721115112305
2017-09-18 04:34:30.075516000,372,89460140160914119766,58.3,,14.106032371520994,59.31721115112305
2017-09-18 04:34:30.217411000,372,89460850007007786425,46.2,,14.106032371520994,59.31721115112305
2017-09-18 04:34:31.157073000,372,89460140160914119766,65.2,,14.106033325195312,59.31721115112305
